character,unicode_category,total_frequency_all_time
 ,Zs,13238379223947
e,Ll,7614401691586
t,Ll,5495295695187
a,Ll,5104964116823
o,Ll,4910587605592
i,Ll,4567323509039
n,Ll,4482739016716
s,Ll,4056446433738
r,Ll,3983295928858
h,Ll,2753163395920
l,Ll,2658779417061
d,Ll,2276297600516
c,Ll,1957576699998
u,Ll,1848703084834
m,Ll,1501971680815
p,Ll,1315568994013
f,Ll,1305282647827
g,Ll,1293879088308
y,Ll,1205348660548
w,Ll,1019801279111
b,Ll,859288542154
.,Po,780313609578
",",Po,695180940300
v,Ll,686462924291
k,Ll,484346628168
T,Lu,267208775415
I,Lu,256845360323
S,Lu,234148758515
A,Lu,224240848548
-,Pd,206387536101
C,Lu,194044350664
0,Nd,166307233075
1,Nd,148261892858
M,Lu,147150768234
x,Ll,141208446791
P,Lu,135773695448
B,Lu,126078796628
2,Nd,121939886732
’,Pf,117025664562
W,Lu,116214019553
D,Lu,113374561675
E,Lu,109601375995
R,Lu,108242537081
H,Lu,104717840767
F,Lu,97549206170
L,Lu,93036598755
O,Lu,92685542524
N,Lu,92332205064
G,Lu,77112465649
',Po,76747316344
j,Ll,75974619026
:,Po,75419530108
),Pe,68543366546
(,Ps,66828465064
z,Ll,65919677233
q,Ll,64311374043
3,Nd,59698466186
5,Nd,57829551510
U,Lu,51194692445
9,Nd,51140089488
4,Nd,50025598651
"""",Po,49219703337
J,Lu,47744280352
Y,Lu,40812442833
8,Nd,40705951682
6,Nd,40211454588
K,Lu,37683222019
7,Nd,37649756450
V,Lu,37638977079
“,Pi,37167269321
”,Pf,36620848609
|,Sm,34800850989
?,Po,34072843887
/,Po,33504277499
!,Po,30407747627
;,Po,19417075498
–,Pd,18891792909
$,Sc,11295462788
&,Po,10984108444
—,Pd,10109315805
Q,Lu,8796234121
%,Po,8526420704
X,Lu,7408228104
Z,Lu,7037738646
‘,Pi,6363544555
*,Po,5077821910
[,Ps,4999661086
],Pe,4998078832
_,Pc,4423537328
+,Sm,3426479517
>,Sm,3074755987
#,Po,3069734978
@,Po,2737979247
=,Sm,2558527533
•,Po,2314692505
é,Ll,2058993298
£,Sc,1458956974
®,So,991717376
<,Sm,929937089
′,Po,876692976
€,Sc,778722526
~,Sm,717981458
·,Po,696650552
©,So,653169189
â,Ll,643850691
е,Ll,620578997
°,So,618582601
`,Sk,610963252
í,Ll,569417932
о,Ll,568342427
á,Ll,527435657
\,Po,526563637
а,Ll,520825813
»,Pf,499645693
и,Ll,430207010
⁄,Sm,409406632
ü,Ll,404406958
ó,Ll,379045345
ö,Ll,344822863
н,Ll,340288286
т,Ll,317295016
ä,Ll,313269614
р,Ll,294258824
§,Po,294233840
с,Ll,294152491
в,Ll,293544970
Â,Lu,266952680
ا,Lo,266655035
×,Sm,262784027
è,Ll,242776085
ā,Ll,224018078
^,Sk,222638603
ñ,Ll,207183622
к,Ll,198167769
ç,Ll,194330615
л,Ll,193818445
ل,Lo,190838113
μ,Ll,186765298
п,Ll,186494297
α,Ll,186313351
�,So,182196695
à,Ll,172949951
́,Mn,163767395
«,Pi,163019390
🙂,So,152977972
м,Ll,144836979
д,Ll,135865026
у,Ll,134263633
±,Sm,131836194
→,Sm,126867286
م,Lo,119922267
َ,Mn,118023491
‐,Pd,117385822
−,Sm,110534486
ο,Ll,110143999
ن,Lo,109701941
ر,Lo,106536776
†,Po,106210206
★,So,105212443
ã,Ll,105141919
️,Mn,104748568
●,So,104632497
و,Lo,102132629
ı,Ll,102028033
я,Ll,101446209
ú,Ll,100236403
Ã,Lu,97727470
г,Ll,95881196
ы,Ll,95095176
ν,Ll,94140708
τ,Ll,93477122
ي,Lo,93216936
å,Ll,91571946
β,Ll,88924596
ô,Ll,88509520
ा,Mc,87457313
з,Ll,84825817
‚,Ps,84796407
ε,Ll,84542619
ø,Ll,83839943
ь,Ll,78349528
б,Ll,78164588
ι,Ll,76999699
Ђ,Lu,76367020
¢,Sc,76284852
ت,Lo,76280419
„,Ps,75788986
й,Ll,74914409
ه,Lo,74894311
ê,Ll,74691599
É,Lu,74527628
ب,Lo,70223339
्,Mn,69086690
і,Ll,68542670
š,Ll,68404544
ï,Ll,67609734
د,Lo,66085219
र,Lo,65801851
ч,Ll,64727339
›,Pf,64078088
